date	lat	lon
2019-09-16	69.68	18.99
2019-09-23	72.31	26.93
2019-09-30	85.12	138.05
2019-10-04	85.08	134.43
2019-10-07	85.1	133.82
2019-10-14	84.85	135.03
2019-10-21	84.97	132.73
2019-10-28	85.47	127.07
2019-11-04	85.88	121.7
2019-11-11	85.82	116.0
2019-11-18	86.05	122.43
2019-11-25	85.85	121.35
2019-12-02	85.97	112.95
2019-12-09	86.25	121.4
2019-12-16	86.62	118.12
2019-12-23	86.63	113.2
2019-12-30	86.58	117.13
2020-01-06	87.1	115.1
2020-01-13	87.35	106.63
2020-01-20	87.42	97.77
2020-01-27	87.43	95.82
2020-02-03	87.42	93.65
2020-02-10	87.78	91.52
2020-02-17	88.07	78.52
2020-02-24	88.58	52.87
2020-03-02	88.17	31.02
2020-03-09	87.93	24.2
2020-03-16	86.87	12.7
2020-03-23	86.2	15.78
2020-03-30	85.37	13.27
2020-04-06	84.52	14.38
2020-04-13	84.28	14.97
2020-04-20	84.52	14.57
2020-04-27	83.93	15.65
2020-05-04	83.92	18.03
2020-05-11	83.47	13.08
2020-05-18	83.32	8.68
2020-05-25	82.43	8.28
2020-06-01	81.33	9.93
2020-06-08	78.1	12.73
2020-06-15	82.2	8.18
2020-06-22	81.95	9.27
2020-06-29	82.03	9.88
2020-07-06	81.67	5.22
2020-07-13	81.4	0.28
2020-07-20	80.78	-0.42
2020-07-27	79.55	-2.37
2020-08-03	78.6	-4.37
2020-08-10	79.9	-5.52
2020-08-17	88.28	-34.63
2020-08-24	87.77	105.67
2020-08-31	88.3	114.23
2020-09-07	88.68	111.57
2020-09-14	89.03	103.1
2020-09-21	88.37	106.17
2020-09-28	83.05	23.78
2020-10-05	77.65	8.42
2020-10-12	53.54	8.58
